RowID,Time,Capacity
6668,188.24166600000004,35.922117240000006
6669,188.276334,36.026090280000005
6670,188.31100199999997,36.13006296
6671,188.34566399999997,36.234035999999996
6672,188.38033199999998,36.33800868
6673,188.415,36.44198172
6674,188.449668,36.54595476
6675,188.484336,36.64992744
6676,188.518998,36.753900120000004
6677,188.553666,36.857873160000004
6678,188.58833400000003,36.96184584
6679,188.62300200000004,37.065818879999995
6680,188.65766400000004,37.16979155999999
6681,188.692332,37.27376460000001
6682,188.72699999999998,37.37773764000001
6683,188.761668,37.48171032
6684,188.796336,37.58568336
6685,188.830998,37.689656039999996
6686,188.865666,37.79362908
6687,188.90033400000002,37.89760176
6688,188.935002,38.0015748
6689,188.969664,38.10554747999999
6690,189.00433200000003,38.20952051999999
6691,189.03900000000004,38.313493199999996
6692,189.073668,38.417466239999996
6693,189.10833599999995,38.521438919999994
6694,189.14299799999998,38.625411959999994
6695,189.177666,38.72938464
6696,189.212334,38.83335768
6697,189.24700199999998,38.93733036
6698,189.281664,39.0413034
6699,189.31633200000002,39.14527608
6700,189.351,39.24924912
6701,189.385668,39.35322179999999
6702,189.42033600000005,39.45719483999999
6703,189.45499800000005,39.56116752
6704,189.489666,39.66514056
6705,189.52433399999995,39.769113239999996
6706,189.559002,39.873086279999995
6707,189.593664,39.97705896
6708,189.628332,40.081032
6709,189.66299999999998,40.18500468
6710,189.69766800000002,40.28897772
6711,189.732336,40.392950400000004
6712,189.766998,40.496923079999995
6713,189.801666,40.600896119999994
6714,189.83633400000005,40.704869159999994
6715,189.871002,40.80884184
6716,189.905664,40.91281488
6717,189.94033199999996,41.01678756
6718,189.975,41.1207606
6719,190.009668,41.22473364000001
6720,190.044336,41.32870632
6721,190.07899799999998,41.43267936
6722,190.113666,41.53665204
6723,190.148334,41.64062508
6724,190.18300200000002,41.744597760000005
6725,190.217664,41.848570439999996
6726,190.252332,41.952543479999996
6727,190.287,42.056516519999995
6728,190.32166799999996,42.1604892
6729,190.356336,42.26446224
